Dimension,Category,multi_func_profit_Profit,multi_func_profit_Cost,multi_func_profit_Users,multi_func_worst_profit_Profit,multi_func_worst_profit_Cost,multi_func_worst_profit_Users,multi_func_min_cost_Profit,multi_func_min_cost_Cost,multi_func_min_cost_Users,multi_func_max_users_Profit,multi_func_max_users_Cost,multi_func_max_users_Users,single_func_Profit,single_func_Cost,single_func_Users,random_deploy_Profit,random_deploy_Cost,random_deploy_Users
Topology Degree,2,518.41,317.30428571428575,6.285714285714286,101.4742857142857,357.0971428571429,4.142857142857143,210.8442857142857,216.29857142857145,3.2857142857142856,417.2542857142857,449.8885714285715,7.142857142857143,223.8714285714286,343.2714285714286,4.428571428571429,337.97142857142853,337.7428571428572,5.142857142857143
Topology Degree,3,-527.8128571428572,636.3842857142857,1.4285714285714286,-1474.9385714285715,1772.081428571429,4.714285714285714,-527.8128571428572,636.3842857142857,1.4285714285714286,-1459.814285714286,1786.957142857143,5.0,-667.9542857142858,780.8114285714286,1.8571428571428572,-659.3928571428571,782.25,1.8571428571428572
Topology Degree,4,-329.385,529.385,1.75,-778.2375,1228.2375,3.75,-329.385,529.385,1.75,-778.2375,1228.2375,3.75,-581.3375000000001,931.3375000000001,3.0,-753.235,1113.2350000000001,3.0
Topology Degree,5,-353.0985714285715,541.6700000000001,1.7142857142857142,-1566.0,2171.714285714286,5.714285714285714,-366.7785714285714,526.7785714285714,1.5714285714285714,-1533.3542857142857,2167.64,5.857142857142857,-737.567142857143,1006.1385714285716,2.7142857142857144,-1024.1814285714286,1309.8957142857143,2.857142857142857
GPU Compute Range,high,-77.05499999999999,437.7692857142857,2.7857142857142856,-974.6364285714286,1501.065,5.071428571428571,-172.93928571428575,420.7964285714285,2.0,-868.0678571428572,1522.3535714285713,6.0,-424.57071428571436,787.4278571428574,3.0714285714285716,-601.1442857142857,1000.4300000000003,3.2857142857142856
GPU Compute Range,low,-23.556666666666672,336.89000000000004,2.5,-425.95666666666665,805.9566666666666,4.166666666666667,-85.12333333333333,291.79,1.8333333333333333,-354.55833333333334,841.225,4.833333333333333,-125.20166666666665,411.86833333333334,2.5,-134.36666666666665,394.3666666666666,2.3333333333333335
GPU Compute Range,medium,-526.988,886.988,3.8,-1497.7099999999998,1833.7099999999998,4.2,-634.376,826.376,2.4,-1372.81,1876.81,5.6,-780.3399999999999,1028.34,3.4,-641.9879999999999,1017.9879999999999,4.2
Bandwidth Range,high,-128.75181818181818,410.56999999999994,2.727272727272727,-865.8645454545455,1349.5009090909089,5.2727272727272725,-210.33181818181822,393.9681818181818,1.9090909090909092,-781.0645454545454,1381.9736363636364,6.2727272727272725,-422.26000000000005,677.7145454545454,2.8181818181818183,-447.6154545454545,734.8881818181818,2.909090909090909
Bandwidth Range,low,-23.556666666666672,336.89000000000004,2.5,-425.95666666666665,805.9566666666666,4.166666666666667,-85.12333333333333,291.79,1.8333333333333333,-354.55833333333334,841.225,4.833333333333333,-125.20166666666665,411.86833333333334,2.5,-134.36666666666665,394.3666666666666,2.3333333333333335
Bandwidth Range,medium,-287.18,755.9300000000001,3.5,-1451.11875,1917.36875,4.25,-409.9225,711.1725000000001,2.375,-1303.16125,1936.91125,5.375,-650.10375,1088.85375,3.625,-837.7737500000001,1376.52375,4.375
Model Size,13B,-319.80333333333334,493.1366666666666,2.3333333333333335,-982.6666666666666,1502.6666666666667,7.0,-319.80333333333334,493.1366666666666,2.3333333333333335,-981.5600000000001,1501.5600000000002,7.0,-425.4066666666666,692.0733333333334,3.3333333333333335,-443.98333333333335,657.3166666666667,3.0
Model Size,175B,112.5,537.5,3.0,-1373.466666666667,2056.8,4.333333333333333,-35.833333333333336,519.1666666666666,2.3333333333333335,-1187.0800000000002,2037.0800000000002,5.0,-433.04333333333335,1189.71,4.0,-1164.0833333333335,1974.0833333333333,4.666666666666667
Model Size,1T,-522.8666666666667,602.8666666666667,1.3333333333333333,-1393.3966666666668,1623.3966666666668,3.3333333333333335,-522.8666666666667,602.8666666666667,1.3333333333333333,-1392.9733333333334,1622.9733333333334,3.3333333333333335,-880.3666666666667,1030.3666666666666,2.0,-1093.5166666666667,1310.1833333333334,2.3333333333333335
Model Size,34B,-591.5,1011.5,4.5,-1803.9,2193.9,5.0,-725.735,935.735,2.75,-1647.775,2247.775,6.75,-907.1875,1187.1875,4.0,-734.5,1174.5,5.0
Model Size,350B,255.41000000000003,347.09000000000003,4.75,-343.70500000000004,1033.705,5.0,31.064999999999998,301.435,2.5,-110.82250000000005,1123.3224999999998,7.75,-90.90500000000003,478.405,3.25,-14.552500000000009,429.5525,3.25
Model Size,540B,-217.3275,329.8275,1.75,-992.375,1459.875,7.0,-217.3275,329.8275,1.75,-992.375,1459.875,7.0,-410.035,612.535,3.0,-396.25250000000005,608.7525,3.0
Model Size,70B,-268.94,388.94,1.0,-272.95,392.95,1.0,-268.94,388.94,1.0,-272.95,392.95,1.0,-272.95,392.95,1.0,-271.94,391.94,1.0
Model Size,7B,272.69,180.64333333333332,2.6666666666666665,130.75333333333333,109.24666666666667,1.3333333333333333,149.55666666666667,90.44333333333333,1.3333333333333333,272.4433333333333,180.89,2.6666666666666665,175.00333333333333,131.66333333333333,1.6666666666666667,175.25,131.41666666666666,1.6666666666666667
Module Count,2,-181.17,445.6144444444445,2.3333333333333335,-938.3566666666666,1235.0233333333335,3.6666666666666665,-251.47,400.3588888888889,1.4444444444444444,-856.6077777777778,1269.9411111111112,4.666666666666667,-523.7911111111111,763.7911111111111,2.4444444444444446,-772.7833333333333,1113.8944444444446,3.2222222222222223
Module Count,3,-109.33800000000001,413.338,2.0,-837.4040000000001,1493.404,4.4,-164.066,380.06600000000003,1.4,-774.198,1518.1979999999999,5.0,-236.69,556.6899999999999,2.0,-236.198,556.198,2.0
Module Count,4,-253.84750000000003,358.84749999999997,1.75,-701.5550000000001,951.5550000000001,4.5,-253.84750000000003,358.84749999999997,1.75,-699.1250000000001,999.125,4.75,-401.375,536.375,2.5,-350.79999999999995,475.79999999999995,2.25
Module Count,5,-796.0,816.0,2.0,-1991.87,2041.87,5.0,-796.0,816.0,2.0,-1990.6,2040.6,5.0,-1195.86,1225.86,3.0,-1195.51,1225.51,3.0
Module Count,6,22.26000000000003,709.4066666666668,5.5,-1043.1466666666668,1764.8133333333333,6.5,-201.47,669.8033333333334,3.6666666666666665,-796.1316666666668,1781.1316666666664,8.333333333333334,-316.3283333333333,934.6616666666667,5.0,-282.90166666666664,921.2350000000001,5.0
