Node Count,multi_func_profit,compute_first,memory_first,single_func,random_deploy,min_profit
4,171.96136363636367,134.96499999999997,148.16590909090908,106.65363636363635,84.02136363636363,69.70454545454547
5,163.43705882352944,183.76176470588234,179.6529411764706,136.53588235294114,136.14235294117645,161.09352941176468
6,189.81625,194.30625,257.07625,136.31125,165.99374999999998,321.36125
7,171.01444444444445,195.35777777777776,241.26000000000002,130.84666666666666,124.78999999999999,317.8877777777777
8,159.33833333333334,201.92,191.90666666666664,220.47166666666666,173.46166666666667,289.05
9,254.34,147.86,304.86,106.325,111.21499999999999,73.93
10,232.40500000000003,232.61,199.5525,231.3675,99.76750000000001,276.58
11,170.08999999999997,170.2,211.7425,151.3625,194.89000000000001,413.935
12,206.745,195.805,195.805,141.09,97.905,250.52
14,64.84,75.2,225.61,225.61,75.2,300.81
15,85.53,189.93,474.82,189.93,189.93,569.79
16,134.95,456.68,152.23,152.23,143.71,761.13
